inputLength outputPercentageOfOriginal


codeLength: 8
1 200.0
10 110.0
100 101.0
1000 100.100006
10000 100.01
100000 100.001
1000000 100.00009


codeLength: 9
1 300.0
10 130.0
100 111.0
1000 98.9
10000 99.0
100000 99.159996
1000000 99.149


codeLength: 10
1 300.0
10 140.0
100 121.0
1000 90.6
10000 89.01
100000 88.604
1000000 88.4674


codeLength: 11
1 300.0
10 150.0
100 138.0
1000 99.1
10000 82.1
100000 80.323
1000000 80.1897


codeLength: 12
1 300.0
10 160.0
100 147.0
1000 107.4
10000 82.630005
100000 80.334
1000000 80.3515


codeLength: 13
1 300.0
10 180.0
100 154.0
1000 115.7
10000 85.329994
100000 84.043
1000000 83.815994


codeLength: 14
1 300.0
10 190.0
100 162.0
1000 126.7
10000 91.85
100000 88.737
1000000 88.3835


codeLength: 15
1 300.0
10 200.0
100 181.0
1000 133.5
10000 98.49
100000 93.225006
1000000 92.6668


codeLength: 16
1 300.0
10 209.99998
100 199.0
1000 144.7
10000 104.990005
100000 96.943
1000000 95.2273
