inputLength compressionTimeInMs


codeLength: 8
1 0
10 1
100 6
1000 15
10000 40
100000 379
1000000 5497


codeLength: 9
1 0
10 0
100 0
1000 1
10000 11
100000 134
1000000 1046


codeLength: 10
1 0
10 0
100 0
1000 2
10000 18
100000 189
1000000 2082


codeLength: 11
1 0
10 1
100 0
1000 2
10000 35
100000 365
1000000 4939


codeLength: 12
1 0
10 0
100 0
1000 2
10000 57
100000 822
1000000 6833


codeLength: 13
1 0
10 0
100 0
1000 2
10000 82
100000 1167
1000000 12739


codeLength: 14
1 0
10 0
100 0
1000 3
10000 121
100000 2491
1000000 25120


codeLength: 15
1 1
10 0
100 0
1000 2
10000 82
100000 4249
1000000 63199


codeLength: 16
1 0
10 0
100 0
1000 2
10000 89
100000 14830
1000000 236165
