inputLength decompressionTimeInMs


codeLength: 8
1 0
10 0
100 0
1000 0
10000 1
100000 5
1000000 46


codeLength: 9
1 0
10 0
100 0
1000 0
10000 1
100000 8
1000000 62


codeLength: 10
1 0
10 1
100 0
1000 0
10000 1
100000 6
1000000 71


codeLength: 11
1 0
10 0
100 0
1000 0
10000 2
100000 5
1000000 55


codeLength: 12
1 0
10 0
100 0
1000 0
10000 0
100000 6
1000000 268


codeLength: 13
1 0
10 0
100 0
1000 0
10000 3
100000 6
1000000 98


codeLength: 14
1 0
10 0
100 0
1000 0
10000 1
100000 6
1000000 66


codeLength: 15
1 0
10 0
100 0
1000 0
10000 1
100000 20
1000000 2183


codeLength: 16
1 0
10 0
100 0
1000 0
10000 1
100000 21
1000000 308
